2019.11.24 13:59:03 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [users/user] done | time=371ms
2019.11.24 13:59:03 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [components/auth/component] ...
2019.11.24 13:59:03 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [components/auth/component] done | time=251ms
2019.11.24 13:59:03 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [views/view] ...
2019.11.24 13:59:03 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [views/view] done | time=290ms
2019.11.24 13:59:03 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [issues/auth/issue] ...
2019.11.24 13:59:04 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [issues/auth/issue] done | time=175ms
2019.11.24 13:59:04 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of types [components/auth],[projectmeasures/auth],[issues/auth] ...
2019.11.24 13:59:04 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of types [components/auth],[projectmeasures/auth],[issues/auth] done | time=378ms
2019.11.24 13:59:04 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [projectmeasures/auth/projectmeasure] ...
2019.11.24 13:59:04 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [projectmeasures/auth/projectmeasure] done | time=209ms
2019.11.24 13:59:04 INFO  web[][o.s.s.q.ProjectsInWarningDaemon] Counting number of projects in warning is enabled.
2019.11.24 13:59:04 INFO  web[][o.s.s.p.p.PlatformLevelStartup] Running Community Edition
2019.11.24 13:59:04 INFO  web[][o.s.s.p.Platform] WebServer is operational
2019.11.24 13:59:04 INFO  web[][o.s.s.q.ProjectsInWarningDaemon] Counting number of projects in warning will be disabled as there are no more projects in warning.
2019.11.24 14:04:29 INFO  web[][o.s.p.ProcessEntryPoint] Gracefully stopping process
2019.11.24 14:04:29 INFO  web[][o.s.s.n.NotificationDaemon] Notification service stopped
2019.11.24 14:04:29 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Embedded database stopped
2019.11.24 14:04:29 INFO  web[][o.s.s.app.WebServer] WebServer stopped
